From,Name,Size,Instance Complexity,Optimal Found CF,Optimal Found PPM+MAN,Optimal Found PPM+CF,Optimal Found CF+0.25*PPM,Optimal Found CF+0.50*PPM,Optimal Found CF+0.75*PPM,Optimal Found CF+1*PPM,Optimal Found CF/PPM,Predicted Path Length CF,Predicted Path Length PPM+MAN,Predicted Path Length PPM+CF,Predicted Path Length CF+0.25*PPM,Predicted Path Length CF+0.50*PPM,Predicted Path Length CF+0.75*PPM,Predicted Path Length CF+1*PPM,Predicted Path Length CF/PPM,Ground Truth Path Length,Manhattan Path Length,Expansion CF,Expansion PPM+MAN,Expansion PPM+CF,Expansion CF+0.25*PPM,Expansion CF+0.50*PPM,Expansion CF+0.75*PPM,Expansion CF+1*PPM,Expansion CF/PPM,Expansion GT,Expansion Manhattan,Run Time CF,Run Time PPM+MAN,Run Time PPM+CF,Run Time Manhattan,Run Time CF+0.25*PPM,Run Time CF+0.50*PPM,Run Time CF+0.75*PPM,Run Time CF+1*PPM,Run Time CF/PPM,Run Time Inference CF,Run Time Inference PPM
bgmaps,AR0011SR.png,216x224,1.441860465116279,0,0,0,0,0,0,0,0,202,220,220,200,222,208,210,266,186,186,2933,3465,2954,2402,2847,2439,3016,2629,186,4277,380.0034523010254,2052.117347717285,1691.0009384155273,355.00121116638184,256.2596797943115,302.99973487854004,247.99656867980957,315.0002956390381,270.02930641174316,751.1186599731445,505.9971809387207
bgmaps,AR0012SR.png,148x139,1.0153846153846153,0,0,0,0,0,0,0,0,70,82,76,70,70,70,70,70,66,66,75,260,250,93,103,121,127,73,66,425,14.000415802001953,52.99949645996094,70.9984302520752,37.00113296508789,10.000467300415039,11.003971099853516,12.997627258300781,16.000747680664062,9.998321533203125,242.99883842468262,159.99937057495117
bgmaps,AR0013SR.png,148x144,1.146551724137931,0,0,0,0,0,0,0,0,141,185,165,161,157,147,143,165,133,133,462,558,936,446,451,292,262,332,133,1836,56.006431579589844,153.99789810180664,264.19949531555176,202.98337936401367,54.99982833862305,51.000118255615234,35.9950065612793,32.000064849853516,44.03829574584961,130.99336624145508,131.00290298461914
bgmaps,AR0014SR.png,148x144,1.4736842105263157,0,0,0,0,0,0,0,0,152,158,146,144,144,144,146,146,140,140,361,391,330,294,303,321,360,244,140,1650,76.0040283203125,167.0076847076416,99.9917984008789,172.0273494720459,32.996177673339844,31.974077224731445,35.00008583068848,38.99741172790527,25.00128746032715,157.99880027770996,154.9990177154541
bgmaps,AR0015SR.png,88x86,1.0638297872340425,0,0,0,0,0,0,0,0,52,52,52,54,54,54,52,54,50,50,158,90,169,130,152,146,90,104,50,394,15.998601913452148,18.000125885009766,38.00010681152344,47.99699783325195,20.011425018310547,16.562461853027344,16.997337341308594,10.002851486206055,11.008024215698242,71.46739959716797,50.00042915344238
bgmaps,AR0016SR.png,88x86,1.2592592592592593,0,0,0,100,100,0,0,0,36,40,42,34,34,36,36,38,34,34,49,83,89,40,53,61,65,75,34,130,4.995822906494141,14.99795913696289,21.998882293701172,18.001556396484375,6.003379821777344,5.000114440917969,6.998538970947266,8.997917175292969,6.999731063842773,39.98231887817383,44.54469680786133
bgmaps,AR0017SR.png,88x86,1.095890410958904,0,0,0,100,100,100,100,100,82,82,82,80,80,80,80,80,80,80,96,274,192,97,106,110,117,113,80,773,12.998104095458984,52.00338363647461,47.99818992614746,57.97457695007324,11.00015640258789,12.001991271972656,13.006210327148438,17.003297805786133,13.997793197631836,49.00217056274414,45.000553131103516
bgmaps,AR0018SR.png,100x96,1.0483870967741935,100,0,0,100,100,100,100,100,65,67,67,65,65,65,65,65,65,65,72,108,106,71,74,86,97,88,65,199,7.996082305908203,23.00262451171875,22.001981735229492,15.999555587768555,8.00180435180664,8.007049560546875,10.006427764892578,11.985063552856445,10.003328323364258,90.99793434143066,62.00003623962402
bgmaps,AR0020SR.png,80x80,1.04,100,100,100,100,100,100,100,100,26,26,26,26,26,26,26,26,26,26,28,40,39,33,37,46,52,34,26,26,4.997968673706055,10.005712509155273,8.997201919555664,3.000974655151367,6.997823715209961,6.999969482421875,8.00013542175293,9.999752044677734,3.999471664428711,76.9968032836914,42.999267578125
bgmaps,AR0021SR.png,60x64,1.09375,100,0,0,0,0,0,0,0,35,41,41,41,41,41,41,41,35,35,39,73,68,47,57,60,61,54,35,69,4.999637603759766,9.99903678894043,11.00301742553711,4.999399185180664,6.000518798828125,6.000280380249023,5.9986114501953125,5.99980354309082,7.000207901000977,55.99856376647949,22.004127502441406
bgmaps,AR0022SR.png,64x64,1.2592592592592593,100,100,0,100,100,100,100,100,34,34,36,34,34,34,34,34,34,34,121,59,118,50,42,42,48,86,34,205,14.9993896484375,10.998725891113281,19.00029182434082,36.002397537231445,8.001089096069336,5.999326705932617,5.00035285949707,6.997585296630859,9.000301361083984,30.000925064086914,32.00078010559082
bgmaps,AR0041SR.png,80x80,1.008130081300813,0,0,0,100,100,100,100,0,138,144,142,124,124,124,124,140,124,124,246,310,404,150,148,159,159,205,124,127,39.0019416809082,65.99807739257812,135.00595092773438,11.000871658325195,17.999887466430664,18.000364303588867,19.999265670776367,18.00084114074707,25.000810623168945,44.002532958984375,47.995805740356445
