Size,Instance Complexity,Optimal Found CF,Optimal Found PPM+MAN,Optimal Found PPM+CF,Optimal Found CF+0.25*PPM,Optimal Found CF+0.50*PPM,Optimal Found CF+0.75*PPM,Optimal Found CF+1*PPM,Optimal Found CF/PPM,Predicted Path Length CF,Predicted Path Length PPM+MAN,Predicted Path Length PPM+CF,Predicted Path Length CF+0.25*PPM,Predicted Path Length CF+0.50*PPM,Predicted Path Length CF+0.75*PPM,Predicted Path Length CF+1*PPM,Predicted Path Length CF/PPM,Ground Truth Path Length,Manhattan Path Length,Expansion CF,Expansion PPM+MAN,Expansion PPM+CF,Expansion CF+0.25*PPM,Expansion CF+0.50*PPM,Expansion CF+0.75*PPM,Expansion CF+1*PPM,Expansion CF/PPM,Expansion GT,Expansion Manhattan,Run Time CF,Run Time PPM+MAN,Run Time PPM+CF,Run Time Manhattan,Run Time CF+0.25*PPM,Run Time CF+0.50*PPM,Run Time CF+0.75*PPM,Run Time CF+1*PPM,Run Time CF/PPM,Run Time Inference CF,Run Time Inference PPM
128,1.0113636363636365,0,0,0,0,0,0,0,0,113,119,119,117,107,107,109,123,89,89,540,392,338,503,416,430,443,453,89,1048,171.60773277282715,293.1509017944336,149.52898025512695,300.6706237792969,160.0663661956787,146.07906341552734,136.05499267578125,139.51945304870605,144.02461051940918,0.0,11.998176574707031
32,1.0222222222222221,0,100,0,0,0,0,100,0,48,46,48,48,48,48,46,48,46,46,53,62,62,49,49,50,54,50,46,293,18.004179000854492,26.510953903198242,22.999286651611328,83.51373672485352,15.999794006347656,16.00050926208496,16.003847122192383,21.51012420654297,16.000986099243164,0.0,11.000394821166992
32,1.2,100,0,0,100,100,100,100,100,30,32,32,30,30,30,30,30,30,30,35,45,44,36,39,42,43,32,30,127,11.511802673339844,17.000913619995117,15.999555587768555,50.00185966491699,12.004375457763672,12.069940567016602,12.999773025512695,13.00048828125,9.999513626098633,0.0,11.000871658325195
256,1.0025510204081634,0,0,0,0,0,0,0,0,421,713,687,433,439,457,469,427,393,393,1160,12878,9983,1171,1259,1444,1517,1136,393,22597,388.0655765533447,115796.62346839905,41190.64998626709,8670.624017715454,439.2867088317871,486.0858917236328,633.1169605255127,620.187520980835,456.44330978393555,0.0,12.006282806396484
64,1.0172413793103448,100,0,0,100,0,0,0,0,59,61,61,59,61,61,61,61,59,59,59,88,88,61,67,67,68,63,59,735,23.984670639038086,52.109479904174805,49.999237060546875,273.06103706359863,23.998737335205078,25.00152587890625,24.003982543945312,25.079965591430664,23.001432418823242,0.0,11.00468635559082
128,1.0062111801242235,0,0,0,0,0,0,0,0,212,226,250,222,218,220,178,216,162,162,1939,3444,2090,1511,1267,1342,341,863,162,4395,615.1735782623291,7680.3905963897705,1911.742925643921,1668.137550354004,598.2606410980225,481.3215732574463,527.5750160217285,127.61139869689941,354.2940616607666,0.0,11.528253555297852
128,1.007462686567164,0,0,0,0,0,0,0,0,175,195,229,145,187,185,175,193,135,135,1395,813,2074,1719,1860,1791,1612,653,135,752,525.3138542175293,905.7357311248779,1785.1336002349854,220.02792358398438,545.5734729766846,751.8234252929688,652.1031856536865,535.1135730743408,253.62086296081543,0.0,12.000322341918945
64,1.0277777777777777,100,0,0,100,100,0,0,100,37,43,43,37,37,41,41,37,37,37,37,98,98,40,66,62,84,44,37,37,12.998580932617188,50.00138282775879,41.51749610900879,11.510133743286133,14.000177383422852,22.00007438659668,20.999908447265625,37.00399398803711,25.51126480102539,0.0,11.998653411865234
32,1.0526315789473684,100,100,100,100,100,100,100,100,20,20,20,20,20,20,20,20,20,20,30,23,23,22,22,22,22,25,20,52,11.012077331542969,10.990381240844727,8.510828018188477,15.999794006347656,6.999969482421875,8.000612258911133,6.999492645263672,7.999658584594727,8.000373840332031,0.0,10.999679565429688
256,1.0029154518950438,0,0,0,0,0,0,0,0,390,564,582,400,404,414,418,386,344,344,1092,9918,9066,1100,1252,1373,1546,575,344,1375,465.3146266937256,69103.17206382751,29524.66320991516,508.6405277252197,411.5862846374512,468.57333183288574,517.5714492797852,600.0909805297852,216.033935546875,0.0,18.005847930908203
64,1.0158730158730158,100,0,0,100,0,0,0,100,64,78,78,64,78,78,78,64,64,64,64,106,106,69,83,86,91,67,64,64,25.997400283813477,63.124895095825195,65.0033950805664,22.999048233032227,25.06852149963379,30.99966049194336,32.000064849853516,33.06746482849121,25.00128746032715,0.0,9.993314743041992
64,1.036144578313253,0,0,0,0,0,0,0,0,140,90,90,88,90,90,90,150,86,86,446,168,154,120,128,130,135,276,86,761,164.0634536743164,101.0892391204834,71.14720344543457,283.1428050994873,44.00181770324707,47.05929756164551,47.00517654418945,49.04484748840332,106.73117637634277,0.0,9.999513626098633
64,1.0714285714285714,0,0,0,0,0,0,0,0,49,51,51,47,47,47,47,51,45,45,51,98,94,55,58,62,70,63,45,249,20.960330963134766,55.506229400634766,58.18438529968262,90.51370620727539,21.000146865844727,21.00062370300293,23.00429344177246,25.508880615234375,23.999929428100586,0.0,9.999752044677734
32,1.3181818181818181,100,100,100,100,100,100,100,100,29,29,29,29,29,29,29,29,29,29,41,43,42,32,32,33,39,44,29,68,16.001224517822266,20.99895477294922,16.998767852783203,26.000261306762695,11.997699737548828,12.005329132080078,12.019634246826172,14.000654220581055,14.998435974121094,0.0,10.069608688354492
64,1.0208333333333333,0,0,0,100,0,0,0,0,51,51,51,49,51,51,51,51,49,49,51,137,127,57,62,62,62,55,49,74,20.984888076782227,80.51276206970215,64.00704383850098,27.00519561767578,20.50948143005371,22.999286651611328,24.00064468383789,23.000240325927734,20.51544189453125,0.0,9.999275207519531
256,1.0034013605442176,0,0,0,0,0,0,0,0,327,515,451,307,303,305,333,347,295,295,419,9103,7191,561,789,900,1225,425,295,14848,143.51677894592285,55274.28412437439,16577.75068283081,5617.331266403198,211.20023727416992,295.10974884033203,335.127592086792,460.2024555206299,160.11691093444824,0.0,14.001131057739258
128,1.423913043478261,0,0,0,0,0,0,0,0,151,183,191,159,159,159,161,157,131,131,989,1677,2003,781,736,770,788,765,131,1403,312.54076957702637,1586.841106414795,1072.2079277038574,416.0621166229248,250.55456161499023,241.8358325958252,303.5430908203125,273.5464572906494,288.5117530822754,0.0,9.977102279663086
96,1.0138888888888888,100,0,0,0,0,0,0,100,73,81,81,77,81,81,81,73,73,73,73,179,179,108,144,153,159,100,73,906,27.000904083251953,122.52187728881836,85.06894111633301,318.15123558044434,40.00425338745117,53.536415100097656,56.96439743041992,58.51125717163086,37.0023250579834,0.0,10.999679565429688
128,1.0297029702970297,0,0,0,0,0,0,0,0,108,158,190,116,116,118,124,114,104,104,1602,713,1521,457,200,224,239,130,104,373,602.1924018859863,795.3298091888428,711.615800857544,106.51636123657227,143.51987838745117,63.51923942565918,72.0059871673584,75.50978660583496,42.514801025390625,0.0,10.022401809692383
64,1.0185185185185186,100,0,0,0,0,0,0,0,55,57,57,57,57,57,57,59,55,55,55,105,106,59,59,62,81,121,55,300,18.99242401123047,50.523996353149414,40.99917411804199,86.52186393737793,19.998550415039062,19.001007080078125,20.008563995361328,26.515960693359375,38.99645805358887,0.0,10.999679565429688
128,1.0065359477124183,0,0,0,0,0,0,0,0,178,166,164,176,158,160,160,216,154,154,291,475,487,845,254,294,308,997,154,2431,93.0776596069336,366.08076095581055,237.0922565460205,740.0715351104736,280.3463935852051,86.00330352783203,99.12824630737305,115.63777923583984,389.5597457885742,0.0,9.508609771728516
96,1.046875,0,0,0,0,0,0,0,0,77,107,107,77,77,77,77,77,67,67,134,690,646,186,214,233,244,102,67,361,44.00777816772461,595.1342582702637,330.05285263061523,107.52034187316895,62.5154972076416,73.5166072845459,77.51917839050293,80.00612258911133,35.51149368286133,0.0,9.999513626098633
