From,Name,Size,Instance Complexity,Optimal Found CF,Optimal Found PPM+MAN,Optimal Found PPM+CF,Optimal Found CF+0.25*PPM,Optimal Found CF+0.50*PPM,Optimal Found CF+0.75*PPM,Optimal Found CF+1*PPM,Optimal Found CF/PPM,Predicted Path Length CF,Predicted Path Length PPM+MAN,Predicted Path Length PPM+CF,Predicted Path Length CF+0.25*PPM,Predicted Path Length CF+0.50*PPM,Predicted Path Length CF+0.75*PPM,Predicted Path Length CF+1*PPM,Predicted Path Length CF/PPM,Ground Truth Path Length,Manhattan Path Length,Expansion CF,Expansion PPM+MAN,Expansion PPM+CF,Expansion CF+0.25*PPM,Expansion CF+0.50*PPM,Expansion CF+0.75*PPM,Expansion CF+1*PPM,Expansion CF/PPM,Expansion GT,Expansion Manhattan,Run Time CF,Run Time PPM+MAN,Run Time PPM+CF,Run Time Manhattan,Run Time CF+0.25*PPM,Run Time CF+0.50*PPM,Run Time CF+0.75*PPM,Run Time CF+1*PPM,Run Time CF/PPM,Run Time Inference CF,Run Time Inference PPM
bgmaps,AR0011SR.png,216x224,1.116,0,0,0,0,0,0,0,0,351,325,293,347,357,349,351,359,279,279,1771,2566,1508,1694,1783,1615,1593,1242,279,8753,297.5761890411377,1236.5641593933105,510.8778476715088,861.4635467529297,188.2009506225586,186.03062629699707,177.10304260253906,202.05044746398926,194.0593719482422,473.6287593841553,468.6119556427002
bgmaps,AR0012SR.png,148x139,1.0666666666666667,0,100,100,0,0,100,100,0,50,48,48,50,50,48,48,50,48,48,53,90,72,55,63,57,59,51,48,194,6.996393203735352,15.001058578491211,17.998695373535156,19.983530044555664,13.00191879272461,12.004613876342773,5.993366241455078,7.002353668212891,7.030725479125977,182.53254890441895,157.03916549682617
bgmaps,AR0013SR.png,148x144,1.2542372881355932,0,0,0,0,0,0,0,0,186,82,84,180,186,178,182,200,74,74,785,276,691,732,745,729,748,573,74,363,103.5315990447998,63.532352447509766,138.54408264160156,38.99669647216797,78.56082916259766,83.4968090057373,95.13044357299805,77.54135131835938,60.00065803527832,213.64116668701172,151.53861045837402
bgmaps,AR0014SR.png,148x144,1.008849557522124,0,0,0,0,0,0,0,0,130,122,128,128,128,128,128,122,114,114,293,545,341,263,271,295,312,216,114,139,38.99359703063965,166.69702529907227,75.00624656677246,14.997243881225586,33.00046920776367,31.00752830505371,34.53254699707031,32.99760818481445,25.998592376708984,160.0940227508545,159.09576416015625
bgmaps,AR0015SR.png,88x86,1.2280701754385965,100,100,100,100,100,100,100,100,70,70,70,70,70,70,70,70,70,70,81,166,132,78,86,93,126,72,70,799,15.508890151977539,34.00111198425293,29.9990177154541,79.0104866027832,10.50567626953125,9.006500244140625,12.00246810913086,17.03166961669922,9.964227676391602,70.53804397583008,46.994924545288086
bgmaps,AR0016SR.png,88x86,1.2452830188679245,0,0,0,0,0,0,0,0,78,70,70,68,68,68,68,76,66,66,101,172,148,78,90,95,108,94,66,466,13.999700546264648,43.52283477783203,39.002180099487305,76.00092887878418,11.002540588378906,10.00070571899414,11.522769927978516,13.997793197631836,10.999441146850586,59.52572822570801,59.000253677368164
bgmaps,AR0017SR.png,88x86,1.0232558139534884,100,100,100,100,100,100,100,100,44,44,44,44,44,44,44,44,44,44,44,73,73,46,50,52,54,57,44,402,6.996870040893555,13.00048828125,21.99864387512207,35.99953651428223,4.997014999389648,7.005453109741211,7.000207901000977,7.521867752075195,8.99958610534668,51.01466178894043,52.506446838378906
bgmaps,AR0018SR.png,100x96,1.1475409836065573,0,0,0,100,100,100,100,0,76,76,76,70,70,70,70,76,70,70,76,247,177,75,75,85,101,78,70,775,8.998394012451172,59.51428413391113,45.01152038574219,67.5513744354248,10.000944137573242,7.997035980224609,10.00213623046875,10.998725891113281,9.00125503540039,91.5226936340332,66.01524353027344
bgmaps,AR0020SR.png,80x80,1.0285714285714285,100,100,100,100,100,100,100,100,36,36,36,36,36,36,36,36,36,36,36,56,56,36,36,37,41,45,36,43,6.997585296630859,12.001276016235352,10.999679565429688,4.002094268798828,3.008604049682617,5.024909973144531,3.9644241333007812,4.9991607666015625,4.012823104858398,47.699689865112305,34.94691848754883
bgmaps,AR0021SR.png,60x64,1.1914893617021276,100,0,0,0,0,0,0,0,56,66,66,66,66,66,66,60,56,56,71,126,91,72,77,84,87,70,56,374,13.006448745727539,23.994922637939453,26.528120040893555,46.01097106933594,6.9866180419921875,9.006738662719727,8.996963500976562,9.000062942504883,9.473323822021484,43.569326400756836,23.009777069091797
