Size,Instance Complexity,Optimal Found CF,Optimal Found PPM+MAN,Optimal Found PPM+CF,Optimal Found CF+0.25*PPM,Optimal Found CF+0.50*PPM,Optimal Found CF+0.75*PPM,Optimal Found CF+1*PPM,Optimal Found CF/PPM,Predicted Path Length CF,Predicted Path Length PPM+MAN,Predicted Path Length PPM+CF,Predicted Path Length CF+0.25*PPM,Predicted Path Length CF+0.50*PPM,Predicted Path Length CF+0.75*PPM,Predicted Path Length CF+1*PPM,Predicted Path Length CF/PPM,Ground Truth Path Length,Manhattan Path Length,Expansion CF,Expansion PPM+MAN,Expansion PPM+CF,Expansion CF+0.25*PPM,Expansion CF+0.50*PPM,Expansion CF+0.75*PPM,Expansion CF+1*PPM,Expansion CF/PPM,Expansion GT,Expansion Manhattan,Run Time CF,Run Time PPM+MAN,Run Time PPM+CF,Run Time Manhattan,Run Time CF+0.25*PPM,Run Time CF+0.50*PPM,Run Time CF+0.75*PPM,Run Time CF+1*PPM,Run Time CF/PPM,Run Time Inference CF,Run Time Inference PPM
32,2.526315789473684,0,0,0,0,0,0,0,0,54,52,54,50,50,50,50,56,48,48,173,161,149,82,74,74,74,86,48,262,106.99748992919922,88.00101280212402,70.00255584716797,121.99687957763672,50.00114440917969,51.003217697143555,37.998199462890625,42.99759864807129,37.00089454650879,1663.999319076538,18.00084114074707
96,1.1546391752577319,0,100,100,0,0,0,0,0,124,112,112,116,120,120,120,120,112,112,499,591,490,197,262,275,285,313,112,2525,222.99671173095703,681.0016632080078,498.99864196777344,1105.9997081756592,98.9997386932373,118.99852752685547,126.9998550415039,138.99970054626465,150.9993076324463,38.99955749511719,11.999845504760742
64,1.4222222222222223,0,100,100,100,100,100,100,0,72,64,64,64,64,64,64,74,64,64,133,201,102,73,78,87,89,113,64,408,65.99998474121094,153.99909019470215,73.99964332580566,188.0030632019043,33.997535705566406,50.99916458129883,38.00368309020996,37.996768951416016,48.99930953979492,24.00064468383789,13.00191879272461
256,1.1076923076923078,0,0,0,0,0,0,0,0,268,278,278,242,242,242,244,268,216,216,1240,2233,2026,945,847,890,969,914,216,3594,532.0014953613281,3347.99861907959,1468.9993858337402,2352.0007133483887,577.002763748169,506.99806213378906,496.9983100891113,559.0026378631592,548.999547958374,49.99685287475586,21.997690200805664
128,1.008,0,0,0,0,0,0,0,0,144,128,128,144,146,146,128,214,126,126,833,264,280,381,400,422,424,671,126,504,341.9985771179199,188.00067901611328,146.01469039916992,232.96761512756348,209.00249481201172,195.99652290344238,216.00008010864258,213.00220489501953,368.99757385253906,15.00082015991211,10.999202728271484
64,1.0149253731343284,0,0,0,0,0,0,0,0,70,70,70,70,70,70,70,74,68,68,90,99,96,79,103,90,87,91,68,688,43.001413345336914,75.99925994873047,71.00319862365723,307.9996109008789,34.99746322631836,51.00059509277344,42.00172424316406,47.99938201904297,45.998334884643555,17.002105712890625,17.996549606323242
32,1.25,100,0,100,100,100,100,100,100,45,47,45,45,45,45,45,45,45,45,77,65,58,69,70,73,76,55,45,239,32.99856185913086,44.99673843383789,33.00285339355469,130.9983730316162,42.01817512512207,31.98528289794922,33.01715850830078,40.98820686340332,25.99310874938965,17.998695373535156,14.998674392700195
128,1.0887096774193548,0,0,0,100,100,0,0,0,157,137,137,135,135,137,137,187,135,135,948,417,417,675,427,333,286,709,135,1063,468.001127243042,427.0050525665283,473.99449348449707,624.9969005584717,321.99859619140625,213.99855613708496,163.00272941589355,155.99966049194336,336.99870109558105,16.00050926208496,12.011528015136719
64,1.0222222222222221,100,100,100,100,100,100,100,100,46,46,46,46,46,46,46,46,46,46,47,59,57,46,46,46,46,53,46,126,27.99844741821289,45.00222206115723,31.000852584838867,50.00567436218262,29.99567985534668,30.999422073364258,29.003381729125977,21.99578285217285,34.00826454162598,17.000436782836914,17.99941062927246
32,1.0285714285714285,100,100,100,100,100,100,100,100,36,36,36,36,36,36,36,36,36,36,36,50,45,37,36,36,36,39,36,36,20.998716354370117,34.00254249572754,28.998851776123047,15.998125076293945,24.015426635742188,16.991138458251953,15.999317169189453,15.997171401977539,18.999099731445312,23.993968963623047,19.001483917236328
256,1.005050505050505,0,0,0,0,0,0,0,0,227,253,225,209,215,215,215,231,199,199,519,2954,2934,517,542,553,690,316,199,218,287.9970073699951,6079.002380371094,3004.002809524536,98.9980697631836,266.00122451782227,267.0004367828369,308.99906158447266,350.9995937347412,150.00391006469727,19.00792121887207,15.997886657714844
128,1.2,0,0,0,0,0,0,0,0,124,118,118,116,116,116,116,130,114,114,283,287,261,255,218,207,202,251,114,555,113.9979362487793,216.00055694580078,150.9993076324463,273.9987373352051,122.99919128417969,90.99888801574707,91.00103378295898,94.0089225769043,128.99446487426758,11.023521423339844,13.979434967041016
